data,descricao,valor,categoria
2024-01-15,Supermercado Extra,-250.00,Alimentação
2024-01-16,Salário,3500.00,Receita
2024-01-17,Conta de Luz,-120.00,Casa
2024-01-18,Uber,-35.00,Transporte
2024-01-19,Netflix,-29.90,Entretenimento
2024-01-20,Farmácia,-85.00,Saúde
2024-01-22,Restaurante,-180.00,Alimentação
2024-01-23,Gasolina,-200.00,Transporte
2024-01-25,Freelance,800.00,Receita
2024-01-26,Internet,-89.90,Casa
2024-01-28,Cinema,-45.00,Entretenimento
2024-01-30,Mercado,-320.00,Alimentação
2024-02-01,Aluguel,-1200.00,Casa
2024-02-02,Conta de Água,-65.00,Casa
2024-02-05,Curso Online,-150.00,Educação
2024-02-07,iFood,-55.00,Alimentação
2024-02-10,Consultório Médico,-200.00,Saúde
2024-02-12,Spotify,-16.90,Entretenimento
2024-02-15,Salário,3500.00,Receita
2024-02-18,Supermercado,-280.00,Alimentação
